AMZN
TMO
NEE
ASML
HD
LOW
BRK-B
GOOGL
CRM
UNH
MCD
COST
TSM
WMT
AVGO
NVDA
AMD
SNE
PYPL
ACN
UNP
TMUS
JD
SPGI
NOW
INTC
KO
LIN
TXN
QCOM
CHTR
SHOP
SAP
ADBE
DHR
PEP
DIS
AZN
NFLX
ABT
CSCO
NKE
FB
