,0,1
64,12:20PM,"Dow Jones Jumps 275 Points On Trump Executive Orders; Apple Gets Price-Target Hikes, While Nike Is Breaking Out Today Investor's Business Daily"
65,12:00PM,"Dow's nearly 300-point rally highlighted by gains for Boeing, Nike stocks MarketWatch"
66,11:11AM,Nike Breaks Out Investor's Business Daily Video
67,10:59AM,"Boeing, Caterpillar share gains lead Dow's nearly 150-point jump MarketWatch"
68,10:19AM,"Dow Jones Stocks To Buy And Watch In August 2020: Pfizer, Visa, Walmart; Nike Is Breaking Out Today Investor's Business Daily"
69,09:51AM,"Dow Jones Today, Stocks Gain Strength; Casinos Rally On IAC's MGM Stake; Apple Gets IPhone Demand Support Investor's Business Daily"
70,09:45AM,"Dow jumps 211 points on gains for shares of Nike, Boeing MarketWatch"
71,Aug-07-20 04:04PM,Trumps WeChat Ban Brings Cold War With China Into a Billion Homes Bloomberg
72,08:11AM,Misty Copeland: 'Hard balance' when I retained ties with Under Armour after ex-CEO Kevin Plank supported Trump Yahoo Finance
73,06:00AM,Misty Copeland: I don't have the same beliefs as our President Yahoo Finance Video
74,05:01AM,Invest in SoleSavy Stock to Get in on a Multi-Billion-Dollar Sneaker Niche InvestorPlace
75,Aug-06-20 08:30AM,Preformed Line Products Announces Second Quarter And First Half 2020 Results PR Newswire
76,07:13AM,Can Adidas Sneakers Survive a Second Wave? Bloomberg
77,06:00AM,Influencers with Andy Serwer: Misty Copeland Yahoo Finance Video
78,01:08AM,adidas AG -- Moody's assigns A2/Prime-1 issuer ratings to adidas AG; outlook stable Moody's
79,Aug-05-20 03:58PM,"Dow rallies nearly 400 points on gains for shares of Walt Disney, Boeing MarketWatch"
80,11:01AM,"Walt Disney, Nike share gains contribute to Dow's 319-point rally MarketWatch"
81,10:09AM,The Retail Misery Story Likely Continued In Q2; Earnings Ahead Benzinga
82,Aug-04-20 07:12PM,Planet Fitness reports bigger quarterly loss than expected; CEO aims to get people safely back to gym Yahoo Finance
83,05:50PM,Nike (NKE) Stock Sinks As Market Gains: What You Should Know Zacks
84,05:06PM,MEDIA-Black employees at Nike object to company's new ad - FT Reuters
85,07:00AM,100-Year-Old Antitrust Laws Are No Match for Big Tech Bloomberg
86,Aug-03-20 07:19PM,Under Armour: Through the Worst of the Storm? GuruFocus.com
87,11:12AM,"Dow's 200-point climb led by gains in shares of Microsoft, Merck MarketWatch"
88,09:56AM,Price Over Earnings Overview: Nike Benzinga
89,08:00AM,Shoppers Are Forming New Habits in the Pandemic. These Retailers Could Benefit. Barrons.com
90,Aug-02-20 06:32AM,1 Thing Lululemon Athletica Does Better Than Anyone Else Motley Fool
91,Jul-31-20 10:32AM,3 Stocks to Buy and Hold for Decades Motley Fool
92,06:00AM,3 Stocks to Buy and Hold for the Next 50 Years Motley Fool
93,Jul-30-20 08:32AM,2 Reasons Lululemon Just Became More Valuable Motley Fool
94,12:45AM,Portlands Ongoing Upheaval Causing Further Financial Challenges for Area Businesses WWD
95,Jul-29-20 05:45PM,Nike (NKE) Gains But Lags Market: What You Should Know Zacks
96,01:23PM,Here are all the big retailers saying they will now be closed on Thanksgiving Yahoo Finance
97,01:00AM,Nike to Open First European House of Innovation in Paris WWD
98,Jul-28-20 05:31PM,"U.S. Infections Rise 1%; California, Arizona Slow: Virus Update Bloomberg"
99,04:00PM,Best Buy joins Walmart and Target in closing for Thanksgiving Yahoo Finance
