,0,1
67,07:10AM,"Tesla, Nike, Dow Futures, Aurora Cannabis - 5 Things You Must Know Wednesday TheStreet.com"
68,06:56AM,Futures rise ahead of business activity data; Nike shines Reuters
69,06:54AM,US STOCKS-Futures rise ahead of business activity data; Nike shines Reuters
70,06:19AM,The DJIA Leads as Sloppy Rotational Action Continues TheStreet.com
71,05:56AM,"Nike Jumps After Reporting Surprise Earnings Gain, Accelerating Online Sales Investor's Business Daily"
72,03:03AM,European stocks extend recovery ahead of PMIs; Adidas jumps Reuters
73,02:12AM,Nike Pops 13% As 1Q Online Sales Jump 82% SmarterAnalyst
74,Sep-22-20 10:53PM,Nike Tramples Analyst Expectations With Its Q1 2021 Results Motley Fool
75,10:21PM,Nike expects permanent shift to online sales BBC
76,10:00PM,Nike Inc (NKE) Q1 2021 Earnings Call Transcript Motley Fool
77,06:05PM,Nike Returns to Growth Amid Pandemic WWD
78,05:50PM,Nike Doubles Profit Estimates on Strong Digital Sales TheStreet.com
79,05:43PM,'It's very important that we get the consumer going again': Portfolio Manager Yahoo Finance Video
80,05:22PM,"Amazon best-positioned aggregator in fragmented e-commerce market, says analyst Yahoo Finance Video"
81,05:14PM,"Nasdaq Jumps 180 Points, Led By Amazon, Lululemon; Tesla Slumps Ahead Of Battery Day Investor's Business Daily"
82,04:55PM,Nike brand digital sales jump 82% in Q1 Yahoo Finance Video
83,04:44PM,"Nike Reports Q1 Earnings Beat, Digital Sales Up 82% YoY Benzinga"
84,04:43PM,"Nike Blows Past Analysts Estimates, Sending Stock Up High Single Digits Footwear News"
85,04:42PM,Nike Earnings: What Happened with NKE Investopedia
86,04:27PM,"Nike smashes revenue, profit estimates on China demand, online boom Reuters"
87,04:19PM,Nike stock rallies after big earnings beat MarketWatch
88,04:17PM,Nike swings back to a quarterly profit as digital sales surge 82% Yahoo Finance
89,03:45PM,"Dow's 162-point jump led by gains for Nike, Microsoft shares MarketWatch"
90,03:18PM,Dow Jones Gains As Nasdaq Leads Way; Housing Stocks Make Constructive Moves Investor's Business Daily
91,02:41PM,"Dow's nearly 100-point climb led by gains for shares of Nike, Microsoft MarketWatch"
92,01:44PM,Amazon Leads Overall and Retail Category in 2020 Loyalty Leaders List WWD
93,01:37PM,"Nasdaq Leads Stock Gains, But Dow Lags; This Sector Rebounds Investor's Business Daily"
94,01:33PM,"Nike, Procter & Gamble share gains lead the way, but Dow flat MarketWatch"
95,12:47PM,Nike Reports Earnings Today. Heres What to Expect. Barrons.com
96,12:07PM,"Nike expected to return to profit as online sales, demand from China pick up Reuters"
97,11:49AM,How to Trade Nike When It Reports Earnings Tuesday TheStreet.com
98,11:16AM,Under Armour CEO: 'Everybody will be shrinking somewhat coming out of COVID' Yahoo Finance
99,10:45AM,Here's What To Make Of NIKE's (NYSE:NKE) Returns On Capital Simply Wall St.
